Country,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy
Australia,Oceania,2000,5.1,6.2,77.0385,10.17,95,85,26.2,90,90,0.04,45559,19.15,0.7,0.7,11.9,1,0,79.2
Australia,Oceania,2001,5,6.1,73.7145,9.53,94,85,26.3,91,92,0.04,45865,19.41,0.7,0.7,11.9,1,0,79.6
Australia,Oceania,2002,5,6,71.935,9.84,95,85,26.4,92,92,0.04,47127,19.65,0.7,0.7,11.8,1,0,79.9
Australia,Oceania,2003,4.9,5.9,69.879,9.97,95,86,26.5,92,93,0.05,47997,19.9,0.7,0.7,11.8,1,0,80.2
Australia,Oceania,2004,4.8,5.8,67.92,9.84,95,85,26.6,92,92,0.05,49439,20.13,0.7,0.6,11.8,1,0,80.5
Australia,Oceania,2005,4.8,5.7,66.521,10.3,95,85,26.7,92,92,0.05,50333,20.39,0.7,0.6,11.7,1,0,80.8
Australia,Oceania,2006,4.7,5.6,65.59,10.31,95,87,26.7,92,92,0.05,50948,20.7,0.7,0.6,11.9,1,0,81
Australia,Oceania,2007,4.5,5.4,66.424,10.56,94,89,26.8,92,92,0.05,52539,20.83,0.7,0.6,12,1,0,81.3
Australia,Oceania,2008,4.4,5.2,64.318,10.76,94,80,26.8,92,92,0.05,53339,21.25,0.7,0.6,12.3,1,0,81.4
Australia,Oceania,2009,4.2,5,64.839,10.62,94,82,26.9,92,92,0.05,53226,21.69,0.7,0.6,12.3,1,0,81.5
Australia,Oceania,2010,4,4.8,62.169,10.52,92,88,26.9,92,92,0.05,53543,22.03,0.7,0.6,12.4,1,0,81.7
Austria,European Union,2000,4.6,5.5,94.882,13.35,33,35,25,71,81,0.08,38843,08.01,1.7,1.9,9,1,0,78.1
Austria,European Union,2001,4.5,5.4,91.5155,12.35,44,34,25,83,84,0.08,39185,08.04,1.7,1.9,9.2,1,0,78.6
Austria,European Union,2002,4.4,5.3,89.4275,12.09,81,39,25.1,82,83,0.08,39636,08.08,1.7,1.9,9.4,1,0,78.7
Austria,European Union,2003,4.3,5.2,87.6535,12.31,83,46,25.1,84,84,0.08,39815,8.12,1.7,1.9,9.6,1,0,78.6
Austria,European Union,2004,4.2,5.1,84.8235,12.17,83,47,25.2,83,83,0.08,40651,8.17,1.7,1.9,9.8,1,0,79.2
